gvkey,fyear,tic,ppegt,conml,inv_rate,tobin_q_lag,cash_flow,bin
4279,1980,ELMG,3,EMS Technologies Inc,,,,1
4279,1981,ELMG,5,EMS Technologies Inc,1,1,0,1
4279,1982,ELMG,7,EMS Technologies Inc,0,3,0,1
4279,1983,ELMG,10,EMS Technologies Inc,0,5,0,1
4279,1984,ELMG,12,EMS Technologies Inc,0,4,0,1
4279,1985,ELMG,17,EMS Technologies Inc,0,3,0,1
4279,1986,ELMG,29,EMS Technologies Inc,1,4,0,1
4279,1987,ELMG,37,EMS Technologies Inc,0,2,0,1
4279,1988,ELMG,43,EMS Technologies Inc,0,1,0,1
4279,1989,ELMG,48,EMS Technologies Inc,0,0,0,1
4279,1990,ELMG,51,EMS Technologies Inc,0,0,0,1
4279,1991,ELMG,53,EMS Technologies Inc,0,0,0,1
4279,1992,ELMG,55,EMS Technologies Inc,0,0,0,1
4279,1993,ELMG,61,EMS Technologies Inc,0,0,0,1
4279,1994,ELMG,65,EMS Technologies Inc,0,0,0,1
4279,1995,ELMG,73,EMS Technologies Inc,0,0,0,1
4279,1996,ELMG,80,EMS Technologies Inc,0,0,0,1
4279,1997,ELMG,77,EMS Technologies Inc,0,1,0,1
4279,1998,ELMG,76,EMS Technologies Inc,0,1,0,1
4279,1999,ELMG,91,EMS Technologies Inc,0,0,0,1
4279,2000,ELMG,98,EMS Technologies Inc,0,0,0,1
4279,2001,ELMG,103,EMS Technologies Inc,0,-1,0,1
4279,2002,ELMG,112,EMS Technologies Inc,0,0,0,1
4279,2003,ELMG,98,EMS Technologies Inc,0,0,0,1
4279,2004,ELMG,104,EMS Technologies Inc,0,1,0,1
4279,2005,ELMG,101,EMS Technologies Inc,0,0,0,1
4279,2006,ELMG,97,EMS Technologies Inc,0,0,0,1
4279,2007,ELMG,114,EMS Technologies Inc,0,0,0,1
4279,2008,ELMG,120,EMS Technologies Inc,0,1,0,1
1860,1980,ATW,122,Atwood Oceanics Inc.,,,,2
1860,1981,ATW,154,Atwood Oceanics Inc.,0,1,0,2
1860,1982,ATW,182,Atwood Oceanics Inc.,0,0,0,2
1860,1983,ATW,190,Atwood Oceanics Inc.,0,0,0,2
1860,1984,ATW,190,Atwood Oceanics Inc.,0,0,0,2
1860,1985,ATW,183,Atwood Oceanics Inc.,0,0,0,2
1860,1986,ATW,189,Atwood Oceanics Inc.,0,0,0,2
1860,1987,ATW,128,Atwood Oceanics Inc.,0,0,0,2
1860,1988,ATW,126,Atwood Oceanics Inc.,0,0,0,2
1860,1989,ATW,134,Atwood Oceanics Inc.,0,0,0,2
1860,1990,ATW,204,Atwood Oceanics Inc.,0,0,0,2
1860,1991,ATW,209,Atwood Oceanics Inc.,0,0,0,2
1860,1992,ATW,183,Atwood Oceanics Inc.,0,0,0,2
1860,1993,ATW,187,Atwood Oceanics Inc.,0,0,0,2
1860,1994,ATW,192,Atwood Oceanics Inc.,0,0,0,2
1860,1995,ATW,188,Atwood Oceanics Inc.,0,0,0,2
1860,1996,ATW,197,Atwood Oceanics Inc.,0,0,0,2
1860,1997,ATW,255,Atwood Oceanics Inc.,0,1,0,2
1860,1998,ATW,334,Atwood Oceanics Inc.,0,2,0,2
1860,1999,ATW,366,Atwood Oceanics Inc.,0,0,0,2
1860,2000,ATW,400,Atwood Oceanics Inc.,0,0,0,2
1860,2001,ATW,507,Atwood Oceanics Inc.,0,1,0,2
1860,2002,ATW,592,Atwood Oceanics Inc.,0,0,0,2
1860,2003,ATW,638,Atwood Oceanics Inc.,0,0,0,2
1860,2004,ATW,626,Atwood Oceanics Inc.,0,0,0,2
1860,2005,ATW,642,Atwood Oceanics Inc.,0,1,0,2
1860,2006,ATW,712,Atwood Oceanics Inc.,0,1,0,2
1860,2007,ATW,803,Atwood Oceanics Inc.,0,1,0,2
1860,2008,ATW,1132,Atwood Oceanics Inc.,0,2,0,2
10983,1980,RTX,3655,Raytheon Technologies Corp,,,,3
10983,1981,RTX,4092,Raytheon Technologies Corp,0,-1,0,3
10983,1982,RTX,4541,Raytheon Technologies Corp,0,-1,0,3
10983,1983,RTX,5070,Raytheon Technologies Corp,0,-1,0,3
10983,1984,RTX,5603,Raytheon Technologies Corp,0,-1,0,3
10983,1985,RTX,5419,Raytheon Technologies Corp,0,-1,0,3
10983,1986,RTX,6161,Raytheon Technologies Corp,0,-1,0,3
10983,1987,RTX,6721,Raytheon Technologies Corp,0,0,0,3
10983,1988,RTX,6800,Raytheon Technologies Corp,0,-1,0,3
10983,1989,RTX,7704,Raytheon Technologies Corp,0,-1,0,3
10983,1990,RTX,8589,Raytheon Technologies Corp,0,-1,0,3
10983,1991,RTX,9233,Raytheon Technologies Corp,0,-1,0,3
10983,1992,RTX,9530,Raytheon Technologies Corp,0,-1,0,3
10983,1993,RTX,9796,Raytheon Technologies Corp,0,-1,0,3
10983,1994,RTX,10193,Raytheon Technologies Corp,0,0,0,3
10983,1995,RTX,10326,Raytheon Technologies Corp,0,-1,0,3
10983,1996,RTX,10661,Raytheon Technologies Corp,0,0,0,3
10983,1997,RTX,10655,Raytheon Technologies Corp,0,0,0,3
10983,1998,RTX,10900,Raytheon Technologies Corp,0,0,0,3
10983,1999,RTX,10455,Raytheon Technologies Corp,0,1,0,3
10983,2000,RTX,10355,Raytheon Technologies Corp,0,1,0,3
10983,2001,RTX,10405,Raytheon Technologies Corp,0,2,0,3
10983,2002,RTX,10869,Raytheon Technologies Corp,0,1,0,3
10983,2003,RTX,12082,Raytheon Technologies Corp,0,0,0,3
10983,2004,RTX,12736,Raytheon Technologies Corp,0,2,0,3
10983,2005,RTX,13328,Raytheon Technologies Corp,0,1,0,3
10983,2006,RTX,13738,Raytheon Technologies Corp,0,1,0,3
10983,2007,RTX,14877,Raytheon Technologies Corp,0,2,0,3
10983,2008,RTX,15106,Raytheon Technologies Corp,0,2,0,3
